model,ad_title,year,km,color,price,ad_date,location
"
                        1.2 TDi Trendline","















    DEĞİŞENSİZ BOYASIZ HATASIZ
","
                    2013","
                    142.000","
                    Beyaz","
 61.750 TL","
12 Ocak

2020
","
                        ManisaKırkağaç"
"
                        1.4 TDi Trendline","















    Bakımlı Polo
","
                    2015","
                    138.000","
                    Beyaz","
 70.750 TL","
12 Ocak

2020
","
                        BalıkesirAltıeylül"
"
                        1.4 Comfortline","















    SAHİBİNDEN SON DERECE TEMİZ
","
                    2012","
                    150.000","
                    Siyah","
 79.750 TL","
12 Ocak

2020
","
                        AnkaraPursaklar"
"
                        1.6","















    SAHİBİNDEN 153.KM OTOMATİK KLİMALI
","
                    1997","
                    153.000","
                    Mavi","
 33.900 TL","
12 Ocak

2020
","
                        AnkaraAltındağ"
"
                        1.6","















    Wolswagen polo
","
                    1998","
                    132.600","
                    Beyaz","
 26.500 TL","
12 Ocak

2020
","
                        KayseriKocasinan"
"
                        1.4 Trendline","















    Öğretmenden temiz kullanılmış 129 binde otomatik Polo
","
                    2005","
                    128.868","
                    Beyaz","
 58.000 TL","
12 Ocak

2020
","
                        İstanbulŞile"
"
                        1.2 TDi Trendline","















    Aracım Düzceye Opsiyonlanmıştır. Masrafsız, Temiz Polo 1.2 TDI
","
                    2012","
                    133.000","
                    Beyaz","
 63.250 TL","
12 Ocak

2020
","
                        AnkaraÇankaya"
"
                        1.4 Trendline","















    !!! OTOMATİK VİTES POLO !!!EMSALSİZ TEMİZLİK ORJİNAL 120.BİN KM!
","
                    2004","
                    119.750","
                    Beyaz","
 57.500 TL","
12 Ocak

2020
","
                        GiresunBulancak"
"
                        1.4 Basicline","















    Sahibinden temiz masrafsız
","
                    2005","
                    140.000","
                    Gri","
 43.750 TL","
12 Ocak

2020
","
                        İstanbulÇekmeköy"
"
                        1.4 Comfortline","















    Volkswagen Polo 1.4 Comfortline 2008 137.000 Km Değişensiz



","
                    2008","
                    137.000","
                    Siyah","
 57.750 TL","
12 Ocak

2020
","
                        EskişehirOdunpazarı"
"
                        1.2 TDi Trendline","















    TEMİZ POLO
","
                    2012","
                    127.000","
                    Beyaz","
 54.000 TL","
12 Ocak

2020
","
                        ŞanlıurfaHaliliye"
"
                        1.2 TDi BlueMotion","















    55 FAVORİ SON İNDİRİM emsalsiz sitenin en temizi ful artı ful
","
                    2011","
                    139.500","
                    Gri","
 69.800 TL","
12 Ocak

2020
","
                        TokatMerkez"
"
                        1.2 TDi BlueMotion","















    Sahıbınden satılık
","
                    2012","
                    124.000","
                    Mavi","
 60.000 TL","
12 Ocak

2020
","
                        İstanbulBeykoz"
"
                        1.2 TDi Trendline","















    Volkswagen Polo 1.2 TDi
","
                    2014","
                    128.000","
                    Beyaz","
 65.000 TL","
12 Ocak

2020
","
                        İstanbulKadıköy"
"
                        1.6 TDi Comfortline","















    2012 model 1.6 ww polo
","
                    2012","
                    137.800","
                    Beyaz","
 63.000 TL","
12 Ocak

2020
","
                        İstanbulBağcılar"
"
                        1.2 TDi Trendline","















    polo 1.2 tdi
","
                    2012","
                    151.000","
                    Gümüş Gri","
 65.000 TL","
12 Ocak

2020
","
                        Bursaİnegöl"
"
                        1.4 Trendline","















    Temiz bakımlı tramersiz 135.000bin
","
                    2008","
                    135.000","
                    Gri","
 55.000 TL","
12 Ocak

2020
","
                        AnkaraPolatlı"
"
                        1.4 Trendline","















    Dosta Gider Bir Araç
","
                    2009","
                    138.500","
                    Beyaz","
 53.750 TL","
12 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.0 Trendline","















    2016 MODEL MASRAFSIZ POLO



","
                    2016","
                    129.000","
                    Beyaz","
 54.900 TL","
13 Ocak

2020
","
                        İzmirGaziemir"
"
                        1.6 TDi Comfortline","















    BANKACIDAN BAKIMLI
","
                    2013","
                    140.000","
                    Beyaz","
 50.000 TL","
13 Ocak

2020
","
                        İstanbulBüyükçekmece"
"
                        1.6","















    polo 1.6.4k



","
                    1998","
                    150.000","
                    Mavi","
 24.000 TL","
13 Ocak

2020
","
                        KocaeliBaşiskele"
"
                        1.2 TDi Trendline","















    Volkswagen Polo 2013 Model 149.000de Makyajlı Kasa
","
                    2013","
                    149.000","
                    Beyaz","
 56.000 TL","
13 Ocak

2020
","
                        İstanbulÜsküdar"
"
                        1.4 Basicline","















    Sahibinden Acil satılık 2004 POLO
","
                    2004","
                    129.500","
                    Kırmızı","
 35.000 TL","
13 Ocak

2020
","
                        AnkaraYenimahalle"
"
                        1.4 Basicline","















    TEMİZ POLO
","
                    2004","
                    130.000","
                    Beyaz","
 42.500 TL","
13 Ocak

2020
","
                        UşakMerkez"
"
                        1.6 TDi Comfortline","















    2012 Düşük km Bakımlı PoLo
","
                    2012","
                    141.000","
                    Beyaz","
 65.000 TL","
13 Ocak

2020
","
                        AnkaraÇubuk"
"
                        1.4 TDi Trendline","















    Acilllllll
","
                    2016","
                    124.000","
                    Beyaz","
 82.500 TL","
13 Ocak

2020
","
                        İstanbulBeylikdüzü"
"
                        1.4 Comfortline","















    boyasız tramersiz orjinal 145 binde sahibinden temiz araç
","
                    2012","
                    145.000","
                    Beyaz","
 72.500 TL","
13 Ocak

2020
","
                        AksarayMerkez"
"
                        1.4 TDi Comfortline","















    2016 DSG polo hasar kayıtsız
","
                    2016","
                    138.500","
                    Beyaz","
 103.750 TL","
13 Ocak

2020
","
                        İstanbulŞişli"
"
                        1.4 Basicline","















    HATASIZ ORJİNAL 145.000 KM POLO İLK ELDEN



","
                    2005","
                    145.000","
                    Gümüş Gri","
 47.000 TL","
13 Ocak

2020
","
                        KütahyaMerkez"
"
                        1.4 Comfortline","















    VDF BAYİ-ANINDA KREDİ İMKANI-2011 VW POLO 1.4 COMFORTLINE DSG 85




","
                    2011","
                    123.000","
                    Siyah","
 69.750 TL","
13 Ocak

2020
","
                        İstanbulAtaşehir"
"
                        1.6 TDi Comfortline","















    Hatasız Orjinal km Polo
","
                    2011","
                    125.000","
                    Beyaz","
 73.250 TL","
13 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.6","















    ÖMÜRLÜK KM DÜŞÜK ARAÇ ARAYANLAR BAKSIN
","
                    1999","
                    130.000","
                    Mavi","
 30.000 TL","
13 Ocak

2020
","
                        ÇankırıMerkez"
"
                        1.4 TDi Comfortline","















    ONS MOTORS'DAN 2015 POLO 1.4 TDİ COMFORTLINE OTOMATİK



","
                    2015","
                    149.448","
                    Beyaz","
 86.900 TL","
13 Ocak

2020
","
                        İstanbulBağcılar"
"
                        1.2 TDi Trendline","















    BAKIMLI TEMIZ



","
                    2013","
                    140.000","
                    Beyaz","
 61.000 TL","
13 Ocak

2020
","
                        İstanbulEsenler"
"
                        1.6 TDi Comfortline","















    2014 MODEL VOLSWAGEN POLO TRAMERSİZ FULL YETKİLİ SERVİS BAKIMLI.




","
                    2014","
                    135.000","
                    Beyaz","
 77.000 TL","
13 Ocak

2020
","
                        İstanbulBeylikdüzü"
